date,oil_surprise
2002-07-01,0.0
2002-08-01,0.0
2002-09-01,0.7893563339659861
2002-10-01,0.0
2002-11-01,0.0
2002-12-01,1.6736048182235541
2003-01-01,1.9961480305839485
2003-02-01,0.0
2003-03-01,-0.028947433319523708
2003-04-01,0.7627046181882796
2003-05-01,0.0
2003-06-01,0.8940317222826705
2003-07-01,-0.007174350531559665
2003-08-01,0.0
2003-09-01,2.454895337103038
2003-10-01,0.0
2003-11-01,0.0
2003-12-01,0.8677237059575541
2004-01-01,0.0
2004-02-01,2.6572864929003983
2004-03-01,-0.7236122609815594
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,-0.927191704351363
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,-1.6672926518397175
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,-3.2285237235617466
2005-01-01,2.119772920694281
2005-02-01,0.0
2005-03-01,3.0058310390480316
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.2883430638300602
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,-1.7250305113371687
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,2.916772206518901
2006-01-01,-0.20465893975021945
2006-02-01,0.0
2006-03-01,-1.889318909521794
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,-1.2414646333587886
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,-1.184009249630381
2006-10-01,-1.072731138543694
2006-11-01,0.0
2006-12-01,1.717537612377288
2007-01-01,0.0
2007-02-01,0.0
2007-03-01,-0.7444881279272735
2007-04-01,0.0
2007-05-01,0.0
2007-06-01,0.0
2007-07-01,0.0
2007-08-01,0.0
2007-09-01,1.1402694323976355
2007-10-01,0.0
2007-11-01,0.0
2007-12-01,-0.8878845679175964
2008-01-01,0.0
2008-02-01,-2.5674450116542658
2008-03-01,4.220023987847735
2008-04-01,0.0
2008-05-01,0.0
2008-06-01,0.0
2008-07-01,0.0
2008-08-01,0.0
2008-09-01,-0.8103959228428397
2008-10-01,-5.35546602743698
2008-11-01,0.0
2008-12-01,-2.2251829455276586
2009-01-01,0.0
2009-02-01,0.0
2009-03-01,1.8787171965759728
2009-04-01,0.0
2009-05-01,2.9073265600220424
2009-06-01,0.0
2009-07-01,0.0
2009-08-01,0.0
2009-09-01,0.7076300913385483
2009-10-01,0.0
2009-11-01,0.0
2009-12-01,1.237581215151551
2010-01-01,0.0
2010-02-01,0.0
2010-03-01,1.5111295264302553
2010-04-01,0.0
2010-05-01,0.0
2010-06-01,0.0
2010-07-01,0.0
2010-08-01,0.0
2010-09-01,0.0
2010-10-01,-0.5123249838880043
2010-11-01,0.0
2010-12-01,1.043567296382032
2011-01-01,0.0
